book_number,book_name,cover,authors,press,publish_year,price,score,tags
1441279,流言,https://img3.doubanio.com/view/subject/s/public/s25811922.jpg,:张爱玲|张爱玲,五洲日报社,1944,1000, ,张爱玲|散文|她的世界，空无一人。他来过，仅仅来过。|中国文学|流言|小说|文学|爱情
1441272,英人、法人、中国人,https://img1.doubanio.com/view/subject/s/public/s1583778.jpg,:储安平,辽宁教育出版社,2005-11-01,14.00, ,储安平|比较文化|社会学|文化|中国人|知识分子专题|社会|中国
1703406,慧眼照雪域,https://img1.doubanio.com/view/subject/s/public/s2589887.jpg,:德木·旺久多吉,中国藏学出版社,2007-1,48.00, ,西藏|摄影|老照片|活佛|视觉|第穆|摄影画册|德穆
2096642,新疆考古记,https://img3.doubanio.com/view/subject/s/public/s3168262.jpg,:[瑞典]贝格曼,新疆人民出版社,1997-11,35.0, ,考古|新疆|小河墓地|贝格曼|历史|西域|歷史|考古/文物
2227713,乡土中国与文化自觉,https://img1.doubanio.com/view/subject/s/public/s8823358.jpg,:黄平,生活·读书·新知三联书店,2007-8,32.00, ,社会学|乡土|黄平|乡土中国|文化|三联|中国|当代中国
3276268,歌劇．花之章,https://img3.doubanio.com/view/subject/s/public/s3336253.jpg,:栗原ちひろ,台湾角川,2008/07/31,NT￥180, ,轻小说|栗原ちひろ|日本|歌剧系列|柴本您真貴|小说
2096643,新疆的地下文化宝藏,https://img9.doubanio.com/view/subject/s/public/s2873796.jpg,:[德]阿尔伯特·冯·勒柯克,新疆人民出版社,1999,28.00, ,考古|新疆|西域|勒柯克|西域探险考察大系|西域/中亚|文物|探险
1965554,概率论和统计学,https://img9.doubanio.com/view/subject/s/public/s2142986.jpg,:塔巴克,商务印书馆,2007-01-01,13.00, ,数学|统计学|概率论|科普|科普/自然科学类|概率|科学|数学之旅
3276278,人類衰退之後 1,https://img1.doubanio.com/view/subject/s/public/s3336268.jpg,:田中羅密歐,尖端出版社,2008/10/15,NT$190, ,轻小说|田中ロミオ|日本|輕小說|田中罗密欧|田中羅密歐|奇幻|小说
2227700,有你我不怕,https://img1.doubanio.com/view/subject/s/public/s2670728.jpg,[意]尼克洛·阿曼尼提,上海人民出版社,2007-9,20.00, ,有你我不怕|意大利|小说|尼克洛·阿曼尼提|外国文学|成长|童年|爱与隔膜与孤独
1048029,新会梁启超家族的文化史,https://img1.doubanio.com/view/subject/s/public/s1201839.jpg,:罗检秋,中国人民大学出版社,1999-10,22.00, ,人物传记|梁启超|文史|思维|历史|新会|成功学|传记
1179095,时文选粹（第2辑）,https://img9.doubanio.com/view/subject/s/public/s1130204.jpg,:王玉强,南方,2004-3-1,16.00, ,时文选粹2|散文|时文选粹|中国文学|思想|文学（中学）|心灵|中国现当代文学
1441255,美的沉思,https://img3.doubanio.com/view/subject/s/public/s24396830.jpg,:蒋勳,文汇出版社,2005-8,34.00, ,蒋勋|美学|艺术|中国艺术史|美术史|文化|中国|艺术/创意/生活
1441241,富江 PARTIII,https://img1.doubanio.com/view/subject/s/public/s3144138.jpg,[日]伊藤润二,东立出版社,2003/01/07,NTS110, ,伊藤润二|漫画|恐怖漫画|富江|日本|恐怖|日本漫画|伊藤潤二
1310188,魔鬼出没的世界,https://img1.doubanio.com/view/subject/s/public/s27069249.jpg,[美]卡尔·萨根,吉林人民出版社,1998-10,28.50, ,科普|卡尔·萨根|科学|思想|自然科学|魔鬼出没的地方|伪科学|美国
1834459,深入理解LINUX网络内幕,https://img1.doubanio.com/view/subject/s/public/s2008439.jpg,:ChristianBenvenuti,东南大学出版社,2006-5,98.00, ,LINUX|网络|network|kernel|Linux|计算机|操作系统|编程
2227662,A New Handbook of Political Science,https://img3.doubanio.com/view/subject/s/public/s4633952.jpg,":Goodin,RobertE.(EDT)|Klingemann,Hans-Dieter(EDT)","Oxford University Press, USA",1998-9-10,USD 75.00, ,政治学|politics|政治科学|PoliticalScience|政治哲学|学术|政治|PoliticalEconomy
1310187,超越东西方,https://img3.doubanio.com/view/subject/s/public/s23723322.jpg,:吴经熊,社会科学文献出版社,2002,26.00, ,吴经熊|宗教|法学|信仰|传记|基督教|思想|自传
1834458,Simulink通信仿真教程,https://img3.doubanio.com/view/subject/s/public/s10040913.jpg,:李贺冰,国防工业出版社,2006-5,34.0, ,通信|通信仿真|编程|仿真|simulink|计算机|matlab|Simulink
1703385,弗洛伊德传,https://img1.doubanio.com/view/subject/s/public/s2864349.jpg,[美]欧文·斯通,北京十月文艺出版社,,71.00, ,弗洛伊德|传记|人物传记|精神分析|心理学|欧文斯通|欧文·斯通|传记类
3014101,独身女人的台阶,https://img9.doubanio.com/view/subject/s/public/s2971686.jpg,竺子,宝文堂书店,1988年6月第一版,3.10, ,竺子|独身女人的台阶|情感|小说|社会|随笔|最近|成长
3276263,歌劇．歌手之章,https://img1.doubanio.com/view/subject/s/public/s3336248.jpg,:栗原ちひろ,台湾角川,2008/04/02,NT$180, ,轻小说|栗原ちひろ|日本|柴本您真貴|歌剧系列|小说
1441244,Barbarians at the Gate,https://img3.doubanio.com/view/subject/s/public/s29610380.jpg,:BryanBurrough|JohnHelyar,Harper Paperbacks,2003-6-1,GBP 9.60, ,金融|华尔街|并购|商业|投资|investment|英文原版|经济
4718047,HELMET FOR MY PILLOW,https://img3.doubanio.com/view/subject/s/public/s4230213.jpg,:RobertLeckie,Simon&Schuster,2001,, ,太平洋战场|二战|美军
1310183,江户日本,https://img1.doubanio.com/view/subject/s/public/s8965268.jpg,[日]茂吕美耶,遠流出版事業股份有限公司,2003-9-20,NT$280, ,日本|茂吕美耶|日本文化|文化|历史|日本研究|江户时代|歷史
3276262,PRIDE 中,https://img3.doubanio.com/view/subject/s/public/s3336243.jpg,:田亀源五郎|ジープロジェクト,古川書房,2004-11,JPY 1234, ,田亀源五郎|田龟源五郎|漫画|同性|日本漫画|日本|BL|耽美
1048020,人类精神进步史表纲要,https://img9.doubanio.com/view/subject/s/public/s1196534.jpg,:(法)孔多塞,三联书店,1998-05,12.80, ,哲学|孔多塞|历史|思想|法国|社会学|人类精神进步史表纲要|思想史
